id;name;phone_number;description;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;address_id;station_img_id
1500;Bến xe Vũng Tàu;;Station in Bà Rịa-Vũng Tàu;true;2025-09-28 08:56:45;;false;;\N;1500;
1501;Bến xe Đức Long Gia Lai;;Station in Gia Lai;true;2025-09-28 08:56:45;;false;;\N;1501;
1502;Bến xe 91B Cần Thơ;;Station in Cần Thơ;true;2025-09-28 08:56:45;;false;;\N;1502;
1503;Bến xe An Phú;;Station in Bình Dương;true;2025-09-28 08:56:45;;false;;\N;1503;
1504;Bến xe An Sương;;Station in Hồ Chí Minh;true;2025-09-28 08:56:45;;false;;\N;1504;
1505;Bến xe Ba Tri;;Station in Bến Tre;true;2025-09-28 08:56:45;;false;;\N;1505;
1506;Bến xe Ba Đồn;;Station in Quảng Bình;true;2025-09-28 08:56:45;;false;;\N;1506;
1507;Bến xe Biên Hòa;;Station in Đồng Nai;true;2025-09-28 08:56:45;;false;;\N;1507;
1508;Bến xe Buôn Ma Thuột;;Station in Đắk Lắk;true;2025-09-28 08:56:45;;false;;\N;1508;
1509;Bến xe Bãi Cháy;;Station in Quảng Ninh;true;2025-09-28 08:56:45;;false;;\N;1509;
1510;Bến xe Bình Châu;;Station in Bà Rịa-Vũng Tàu;true;2025-09-28 08:56:45;;false;;\N;1510;
1511;Bến xe Bắc Ruộng;;Station in Bình Thuận;true;2025-09-28 08:56:45;;false;;\N;1511;
1512;Bến xe Bến Tre;;Station in Bến Tre;true;2025-09-28 08:56:45;;false;;\N;1512;
1513;Bến xe Bến Trại;;Station in Hải Dương;true;2025-09-28 08:56:45;;false;;\N;1513;
1514;Bến xe Bồng Sơn;;Station in Bình Định;true;2025-09-28 08:56:45;;false;;\N;1514;
1515;Bến xe Chín Nghĩa;;Station in Quảng Ngãi;true;2025-09-28 08:56:45;;false;;\N;1515;
1516;Bến xe Chợ Lục;;Station in Thái Bình;true;2025-09-28 08:56:45;;false;;\N;1516;
1517;Bến xe Cà Mau;;Station in Cà Mau;true;2025-09-28 08:56:45;;false;;\N;1517;
1518;Bến xe Cần Thơ;;Station in Ninh Kiều;true;2025-09-28 08:56:45;;false;;\N;1518;
1519;Bến xe Cầu Rào;;Station in Hải Phòng;true;2025-09-28 08:56:45;;false;;\N;1519;
1520;Bến xe Cửa Ông;;Station in Quảng Ninh;true;2025-09-28 08:56:45;;false;;\N;1520;
1521;Bến xe Duyên Hải;;Station in Trà Vinh;true;2025-09-28 08:56:45;;false;;\N;1521;
1522;Bến xe Ea Súp;;Station in Đắk Lắk;true;2025-09-28 08:56:45;;false;;\N;1522;
1523;Bến xe Eakar;;Station in Đắk Lắk;true;2025-09-28 08:56:45;;false;;\N;1523;
1524;Bến xe Gia Lâm;;Station in Hà Nội;true;2025-09-28 08:56:45;;false;;\N;1524;
1525;Bến xe Gia Nghĩa;;Station in Đắk Nông;true;2025-09-28 08:56:45;;false;;\N;1525;
1526;Bến xe Giao Thủy;;Station in Nam Định;true;2025-09-28 08:56:45;;false;;\N;1526;
1527;Bến xe Gò Công;;Station in Tiền Giang;true;2025-09-28 08:56:45;;false;;\N;1527;
1528;Bến xe Hà Giang;;Station in Hà Giang;true;2025-09-28 08:56:45;;false;;\N;1528;
1529;Bến xe Hà Tiên;;Station in Kiên Giang;true;2025-09-28 08:56:45;;false;;\N;1529;
1530;Bến xe Hà Tĩnh;;Station in Hà Tĩnh;true;2025-09-28 08:56:45;;false;;\N;1530;
1531;Bến xe Hùng Vương;;Station in Cần Thơ;true;2025-09-28 08:56:45;;false;;\N;1531;
1532;Bến xe Hưng Yên;;Station in Hưng Yên;true;2025-09-28 08:56:45;;false;;\N;1532;
1533;Bến xe Ka Đô;;Station in Lâm Đồng;true;2025-09-28 08:56:45;;false;;\N;1533;
1534;Bến xe trung tâm Đà Nẵng;;Station in Đà Nẵng;true;2025-09-28 08:56:45;;false;;\N;1534;
1535;Bến xe Khánh Bình;;Station in An Giang;true;2025-09-28 08:56:45;;false;;\N;1535;
